N=20000
p,Tp,Sp
1,0.397032,1
2,0.205101,1.93578
4,0.113473,3.49891
6,0.104969,3.78237
8,0.106809,3.71722
16,0.105471,3.76437
20,0.105962,3.74693
40,0.106236,3.73725
